Año,Periodo,Número de pensionistas,Hombres,Mujeres,Gasto total en pensiones,Jubilación,Viudedad,Incapacidad permanente,Orfandad,Favor familiar
2015,Mayo,8.434.731,4.382.142,4.052.360,"8.217,86","5.733,05","1.481,21","858,27","125,26","20,07"
2015,Junio,8.447.911,4.388.378,4.059.321,"8.237,89","5.749,15","1.483,23","859,68","125,67","20,17"
2015,Julio,8.461.153,4.394.850,4.066.129,"8.259,68","5.766,52","1.485,10","861,85","125,97","20,24"
2015,Agosto,8.462.042,4.395.349,4.066.465,"8.270,54","5.777,88","1.484,14","862,23","126,03","20,26"
2015,Septiembre,8.474.512,4.401.312,4.073.015,"8.292,85","5.796,58","1.486,54","863,2","126,23","20,31"
2015,Octubre,8.485.978,4.406.434,4.079.327,"8.316,57","5.817,81","1.488,71","863,47","126,23","20,35"
2015,Noviembre,8.498.073,4.412.354,4.085.506,"8.340,51","5.838,47","1.490,98","864,78","125,86","20,43"
2015,Diciembre,8.508.482,4.417.332,4.091.026,"8.360,42","5.854,63","1.492,58","866,57","126,15","20,49"
2016,Enero,8.503.090,4.414.722,4.088.276,"8.384,01","5.875,97","1.494,22","867,1","126,2","20,52"
2016,Febrero,8.509.091,4.417.121,4.091.753,"8.405,85","5.896,91","1.495,82","866,04","126,58","20,49"
2016,Marzo,8.518.727,4.421.478,4.097.019,"8.427,91","5.915,14","1.497,79","867,45","126,94","20,59"
2016,Abril,8.524.591,4.423.505,4.100.816,"8.445,19","5.929,58","1.499,13","868,54","127,28","20,66"
2016,Mayo,8.528.843,4.425.358,4.103.294,"8.467,28","5.947,65","1.501,08","870,31","127,5","20,74"
2016,Junio,8.545.172,4.433.138,4.111.868,"8.491,49","5.966,43","1.504,07","872,26","127,88","20,86"
2016,Julio,8.559.328,4.439.948,4.119.181,"8.514,94","5.984,84","1.506,27","874,61","128,28","20,95"
2016,Agosto,8.568.629,4.444.259,4.124.178,"8.534,97","6.002,84","1.507,48","875,27","128,39","20,99"
2016,Septiembre,8.574.146,4.446.349,4.127.590,"8.550,64","6.017,89","1.508,54","874,77","128,41","21,03"
2016,Octubre,8.586.224,4.451.164,4.134.852,"8.576,60","6.040,65","1.511,43","875,38","128,07","21,08"
2016,Noviembre,8.595.509,4.455.524,4.139.813,"8.598,61","6.060,22","1.513,15","876,62","127,43","21,18"
2016,Diciembre,8.609.085,4.462.196,4.146.785,"8.623,18","6.078,75","1.515,32","880,04","127,78","21,29"
2017,Enero,8.602.601,4.458.754,4.143.757,"8.647,83","6.100,56","1.516,53","881,47","127,89","21,37"
2017,Febrero,8.598.985,4.457.988,4.140.840,"8.660,65","6.116,62","1.514,50","880,1","128,07","21,36"
2017,Marzo,8.610.495,4.461.954,4.148.401,"8.684,50","6.132,69","1.519,43","882,25","128,65","21,49"
2017,Abril,8.624.602,4.467.641,4.156.734,"8.709,74","6.151,45","1.522,55","884,91","129,18","21,65"
2017,Mayo,8.618.842,4.464.508,4.154.159,"8.722,50","6.163,90","1.522,65","885,11","129,14","21,7"
2017,Junio,8.637.504,4.472.973,4.164.325,"8.747,59","6.183,19","1.525,61","887,34","129,64","21,8"
2017,Julio,8.652.057,4.479.922,4.171.975,"8.770,70","6.202,44","1.527,62","888,81","129,93","21,91"
2017,Agosto,8.661.628,4.484.049,4.177.428,"8.790,61","6.220,80","1.528,92","888,96","129,98","21,95"
2017,Septiembre,8.668.141,4.486.574,4.181.408,"8.807,29","6.236,72","1.529,84","888,76",130,"21,98"
